vessel_name,capacity_tons,speed_knots,cargo_weight_tons,cargo_ratio,distance_nm,weather_condition,fuel_type,duration_days,fuel_per_day_tons,total_trip_fuel_tons
Vessel C,4000,19.15,1387.0,0.347,792.9,Moderate,Fuel A,1.72,89.59,154.54
Vessel D,9000,17.11,2206.2,0.245,1006.9,Moderate,Fuel B,2.45,73.99,181.4
Vessel D,9000,21.89,6245.9,0.694,1841.4,Moderate,Fuel A,3.5,206.24,722.85
Vessel B,7000,8.65,6853.0,0.979,3183.7,Calm,Fuel B,15.33,10.45,160.14
Vessel C,4000,13.35,3946.3,0.987,2508.7,Moderate,Fuel A,7.83,40.54,317.33
Vessel A,5000,11.23,1964.1,0.393,3366.1,Moderate,Fuel A,12.49,20.57,256.89
Vessel C,4000,20.73,1628.1,0.407,1815.6,Moderate,Fuel B,3.65,114.74,418.72
Vessel A,5000,21.57,4100.5,0.82,3721.3,Rough,Fuel B,7.19,184.58,1326.56
Vessel C,4000,20.91,1083.2,0.271,3852.5,Calm,Fuel A,7.68,101.48,779.18
Vessel C,4000,19.6,1941.6,0.485,735.5,Calm,Fuel A,1.56,96.72,151.21
Vessel C,4000,10.31,850.0,0.213,955.1,Moderate,Fuel A,3.86,13.36,51.56
Vessel A,5000,16.48,4705.2,0.941,3430.1,Moderate,Green Fuel,8.67,95.7,829.83
Vessel D,9000,12.63,2257.6,0.251,2972.5,Calm,Fuel A,9.8,27.6,270.55
Vessel A,5000,13.36,4886.8,0.977,2332.9,Rough,Fuel A,7.28,54.06,393.32
Vessel C,4000,11.58,929.4,0.232,296.6,Moderate,Fuel B,1.07,16.05,17.12
Vessel D,9000,17.74,2803.2,0.311,3071.1,Moderate,Green Fuel,7.21,97.84,705.84
Vessel D,9000,21.2,6111.8,0.679,2572.5,Moderate,Fuel B,5.06,165.58,837.18
Vessel D,9000,19.25,3143.3,0.349,1432.5,Rough,Green Fuel,3.1,140.88,436.81
Vessel C,4000,20.55,1817.6,0.454,2661.2,Calm,Fuel A,5.4,99.68,537.99
Vessel C,4000,13.84,1510.7,0.378,839.5,Calm,Green Fuel,2.53,32.75,82.74
Vessel D,9000,15.26,6861.7,0.762,1164.9,Calm,Fuel A,3.18,65.51,208.33
Vessel C,4000,12.21,1711.5,0.428,3911.1,Calm,Fuel A,13.34,20.36,271.73
Vessel D,9000,8.72,3806.3,0.423,2786.7,Rough,Green Fuel,13.31,11.88,158.17
Vessel B,7000,11.39,5164.0,0.738,1120.2,Moderate,Green Fuel,4.1,31.85,130.54
Vessel B,7000,13.15,4940.9,0.706,3302.4,Moderate,Green Fuel,10.46,43.11,451.15
Vessel C,4000,10.61,930.5,0.233,1036.9,Moderate,Green Fuel,4.07,15.63,63.65
Vessel B,7000,15.17,2668.4,0.381,2825.6,Moderate,Fuel A,7.76,53.32,413.85
Vessel A,5000,17.46,3940.9,0.788,3533.9,Calm,Green Fuel,8.43,89.7,756.45
Vessel C,4000,11.2,1359.9,0.34,1119.0,Rough,Fuel A,4.16,21.21,88.31
Vessel A,5000,11.9,3801.4,0.76,3163.5,Rough,Fuel B,11.07,34.39,380.76
Vessel D,9000,19.91,8536.6,0.949,234.9,Moderate,Fuel B,0.49,165.47,81.35
Vessel A,5000,11.97,2221.5,0.444,2677.5,Moderate,Green Fuel,9.32,25.63,238.73
Vessel A,5000,10.46,1072.3,0.214,2939.6,Moderate,Green Fuel,11.71,15.78,184.74
Vessel C,4000,13.15,1648.6,0.412,3919.8,Calm,Fuel B,12.42,23.11,287.12
Vessel C,4000,20.49,2819.6,0.705,2651.4,Moderate,Fuel B,5.39,135.09,728.42
Vessel D,9000,18.11,3821.6,0.425,365.7,Calm,Fuel A,0.84,88.67,74.59
Vessel D,9000,21.17,8668.3,0.963,3041.3,Rough,Green Fuel,5.99,263.4,1576.95
Vessel B,7000,21.53,6796.3,0.971,1361.6,Rough,Green Fuel,2.63,268.79,708.2
Vessel D,9000,19.92,4081.8,0.454,1699.8,Calm,Fuel A,3.56,109.08,387.91
Vessel C,4000,15.26,3607.6,0.902,719.2,Moderate,Fuel A,1.96,65.33,128.32
Vessel B,7000,13.03,3044.1,0.435,1173.6,Rough,Green Fuel,3.75,42.18,158.27
Vessel C,4000,15.02,3354.5,0.839,3224.0,Moderate,Fuel B,8.94,54.8,490.09
Vessel D,9000,20.41,1998.8,0.222,2753.7,Moderate,Green Fuel,5.62,124.92,702.19
Vessel B,7000,12.01,4708.7,0.673,3325.9,Calm,Fuel B,11.54,25.75,297.07
Vessel B,7000,15.52,3229.2,0.461,1937.6,Rough,Fuel A,5.2,67.19,349.55
Vessel B,7000,15.57,4969.6,0.71,3884.2,Moderate,Fuel A,10.4,68.74,714.53
Vessel B,7000,12.52,5853.0,0.836,498.1,Calm,Fuel B,1.66,33.56,55.63
Vessel A,5000,8.81,4660.9,0.932,556.7,Moderate,Fuel B,2.63,12.81,33.7
Vessel A,5000,17.24,2119.7,0.424,2697.0,Rough,Green Fuel,6.52,103.33,673.41
Vessel C,4000,11.47,1939.1,0.485,1499.1,Moderate,Fuel A,5.45,20.01,109.0
Vessel D,9000,8.64,2093.2,0.233,2001.9,Rough,Fuel A,9.65,10.93,105.45
Vessel C,4000,12.85,2287.0,0.572,2540.2,Moderate,Fuel B,8.24,27.86,229.47
